iter	Passed	Remaining
0	1	1560
1	2	1441
2	4	1407
3	5	1371
4	6	1347
5	8	1335
6	9	1321
7	10	1311
8	11	1308
9	13	1298
10	14	1291
11	15	1283
12	16	1282
13	18	1278
14	19	1272
15	20	1270
16	21	1267
17	23	1263
18	24	1257
19	25	1253
20	26	1250
21	28	1246
22	29	1244
23	30	1242
24	31	1239
25	33	1236
26	34	1234
27	35	1230
28	36	1230
29	37	1227
30	39	1224
31	40	1222
32	41	1222
33	42	1218
34	44	1216
35	45	1216
36	46	1214
37	47	1213
38	49	1212
39	50	1214
40	51	1212
41	53	1215
42	54	1213
43	55	1211
44	57	1210
45	58	1209
46	59	1209
47	60	1208
48	62	1209
49	63	1207
50	64	1206
51	66	1206
52	67	1206
53	68	1206
54	70	1213
55	71	1212
56	73	1211
57	74	1211
58	76	1214
59	77	1215
60	79	1216
61	80	1216
62	81	1215
63	83	1214
64	84	1214
65	85	1214
66	87	1213
67	88	1213
68	89	1213
69	91	1212
70	92	1212
71	94	1212
72	95	1212
73	96	1212
74	98	1211
75	99	1210
76	101	1210
77	102	1211
78	103	1211
79	105	1210
80	106	1209
81	107	1208
82	109	1209
83	111	1212
84	112	1212
85	113	1211
86	115	1212
87	116	1211
88	118	1211
89	119	1211
90	121	1210
91	122	1210
92	123	1209
93	125	1208
94	126	1208
95	128	1208
96	129	1208
97	131	1207
98	132	1207
99	134	1207
100	135	1206
101	137	1206
102	138	1205
103	139	1204
104	141	1203
105	142	1203
106	144	1203
107	145	1203
108	147	1203
109	148	1203
110	150	1203
111	151	1203
112	153	1202
113	154	1203
114	156	1203
115	157	1203
116	159	1204
117	161	1204
118	162	1204
119	164	1203
120	165	1203
121	167	1203
122	168	1202
123	170	1202
124	171	1202
125	173	1202
126	174	1202
127	176	1201
128	178	1202
129	179	1202
130	181	1202
131	182	1202
132	184	1204
133	186	1203
134	187	1203
135	189	1203
136	190	1202
137	192	1202
138	194	1202
139	195	1202
140	197	1201
141	198	1201
142	200	1201
143	202	1200
144	203	1200
145	205	1199
146	206	1199
147	208	1198
148	209	1198
149	211	1198
150	212	1197
151	214	1197
152	216	1197
153	217	1197
154	219	1196
155	221	1196
156	222	1196
157	224	1196
158	226	1195
159	227	1195
160	229	1195
161	231	1198
162	233	1197
163	234	1197
164	236	1196
165	238	1196
166	239	1196
167	241	1195
168	243	1195
169	244	1195
170	246	1195
171	248	1195
172	250	1195
173	251	1194
174	253	1194
175	254	1193
176	256	1193
177	258	1192
178	260	1192
179	261	1192
180	263	1191
181	264	1190
182	266	1190
183	268	1190
184	270	1189
185	271	1189
186	273	1189
187	275	1188
188	276	1187
189	278	1187
190	280	1186
191	281	1186
192	283	1185
193	285	1185
194	287	1185
195	288	1184
196	290	1184
197	292	1184
198	294	1183
199	295	1182
200	297	1182
201	299	1182
202	300	1181
203	302	1181
204	304	1180
205	306	1180
206	308	1179
207	309	1179
208	311	1178
209	313	1178
210	315	1178
211	316	1178
212	318	1177
213	320	1176
214	322	1176
215	323	1175
216	325	1175
217	327	1174
218	329	1174
219	330	1173
220	332	1172
221	334	1172
222	336	1172
223	338	1171
224	340	1171
225	341	1170
226	343	1170
227	345	1170
228	347	1169
229	349	1169
230	351	1168
231	352	1168
232	354	1168
233	357	1169
234	359	1168
235	360	1168
236	362	1167
237	364	1167
238	366	1167
239	368	1166
240	370	1165
241	371	1164
242	373	1164
243	375	1163
244	377	1162
245	379	1162
246	381	1162
247	382	1161
248	384	1160
249	386	1159
250	388	1159
251	390	1158
252	392	1158
253	394	1157
254	395	1156
255	397	1156
256	399	1155
257	401	1154
258	403	1154
259	405	1154
260	407	1153
261	409	1152
262	411	1153
263	413	1153
264	416	1154
265	417	1153
266	419	1152
267	421	1151
268	423	1151
269	425	1150
270	427	1149
271	429	1149
272	431	1149
273	433	1149
274	435	1148
275	437	1147
276	439	1147
277	441	1146
278	443	1145
279	445	1145
280	447	1145
281	449	1145
282	451	1144
283	453	1143
284	455	1142
285	457	1141
286	459	1140
287	461	1140
288	463	1140
289	466	1140
290	467	1140
291	469	1139
292	471	1138
293	473	1137
294	475	1136
295	477	1135
296	479	1135
297	481	1134
298	483	1133
299	485	1132
300	487	1132
301	489	1131
302	491	1130
303	493	1129
304	495	1129
305	497	1128
306	499	1127
307	501	1126
308	503	1125
309	505	1125
310	507	1124
311	509	1123
312	511	1122
313	513	1121
314	515	1120
315	517	1119
316	519	1118
317	521	1117
318	523	1116
319	525	1115
320	527	1114
321	529	1113
322	530	1112
323	532	1111
324	534	1110
325	536	1109
326	538	1108
327	540	1107
328	542	1106
329	544	1105
330	546	1105
331	548	1104
332	550	1103
333	552	1102
334	554	1101
335	556	1099
336	558	1099
337	560	1098
338	562	1097
339	564	1096
340	566	1095
341	568	1093
342	570	1092
343	572	1091
344	574	1090
345	576	1089
346	578	1088
347	580	1087
348	582	1086
349	584	1085
350	586	1084
351	588	1082
352	590	1081
353	592	1080
354	594	1081
355	597	1080
356	599	1079
357	601	1078
358	603	1076
359	605	1075
360	607	1074
361	609	1073
362	611	1072
363	613	1071
364	615	1070
365	617	1069
366	619	1067
367	621	1066
368	622	1065
369	624	1064
370	626	1062
371	628	1061
372	630	1060
373	632	1059
374	634	1057
375	636	1056
376	638	1055
377	640	1054
378	642	1053
379	644	1052
380	646	1051
381	649	1050
382	650	1048
383	653	1047
384	655	1046
385	657	1045
386	659	1044
387	661	1043
388	663	1042
389	665	1040
390	667	1039
391	669	1038
392	671	1036
393	673	1035
394	675	1034
395	677	1033
396	679	1032
397	681	1030
398	683	1029
399	686	1029
400	688	1029
401	691	1028
402	693	1027
403	695	1025
404	697	1024
405	699	1023
406	701	1021
407	703	1020
408	705	1019
409	707	1017
410	709	1016
411	711	1015
412	713	1013
413	715	1012
414	717	1011
